name,root,mtime,n_cells,n_ok,n_rep_dirs,size_bytes,has_summary,has_progress_log,has_results_json
flood_sweep_pre_retxfix,/root/asterisk-native/results,2026-04-27T04:58:21,24,19,24,178212,1,0,0
2m_rcvbuf_test,/root/asterisk-native/results,2026-04-27T06:13:34,4,3,0,30392,1,0,0
2m_instrumented,/root/asterisk-native/results,2026-04-27T06:16:30,0,0,1,33360,1,0,0
2m_warmup,/root/asterisk-native/results,2026-04-27T06:27:51,0,0,1,300,1,0,0
2m_pfifo_fix,/root/asterisk-native/results,2026-04-27T06:38:33,1,0,2,3771,1,0,0
flood_sweep_unicast,/root/asterisk-native/results,2026-04-27T07:57:01,24,24,24,197629,1,0,0
flood_sweep_bcast_v1,/root/asterisk-native/results,2026-04-27T20:38:47,24,24,24,198398,1,0,0
flood_sweep,/root/asterisk-native/results,2026-04-27T22:18:25,24,24,24,198415,1,0,0
500K,/root/asterisk-native_root/sweep_results,2026-04-20T00:23:04,,,0,8413,0,0,0
1000K,/root/asterisk-native_root/sweep_results,2026-04-20T00:24:16,,,0,8457,0,0,0
1500K,/root/asterisk-native_root/sweep_results,2026-04-20T00:25:57,,,0,8468,0,0,0
e1_n_sweep,/root/e1_sweep/results,2026-04-28T13:47:36,,,0,84959,0,0,0
darkpool_n_sweep_eno1,/root/e1_sweep/results,2026-04-28T14:45:51,,,0,24975,0,0,0
darkpool_size_sweep_n3_tsn,/root/e1_sweep/results,2026-04-28T14:52:56,,,0,27096,0,0,0
e1_phases,/root/e1_sweep/results,2026-04-28T15:05:00,,,0,286,0,0,0
motivation,/root/e1_sweep/results,2026-04-28T15:09:18,,,0,10570,0,0,0
dm_vs_hm,/root/e1_sweep/results,2026-04-28T16:42:48,,,0,8062,0,0,0
motivation_v2,/root/e1_sweep/results,2026-04-28T22:21:02,,,0,88852,0,0,1
e1_n_sweep_eno1,/root/e1_sweep/results,2026-04-28T23:35:54,,,0,75169,0,0,0
slot_sweep_v3,/root/e1_sweep/results,2026-04-29T01:22:33,3,0,0,51371,1,0,0
qsync_n3_v2,/root/e1_sweep/results,2026-04-29T01:40:23,,,0,7270,0,0,0
smoke_qsync_n3,/root/e1_sweep/results,2026-04-29T01:49:13,,,0,3584,0,0,0
smoke_tsn_qsync_n3,/root/e1_sweep/results,2026-04-29T02:18:20,,,0,2805,0,0,0
smoke_tsn_diag,/root/e1_sweep/results,2026-04-29T02:35:32,,,0,1508,0,0,0
smoke_tsn_quick,/root/e1_sweep/results,2026-04-29T02:43:52,,,0,2382,0,0,0
smoke_eno1_tdma,/root/e1_sweep/results,2026-04-29T02:49:04,,,0,5648,0,0,0
slot_sweep_clean,/root/e1_sweep/results,2026-04-29T03:33:32,12,12,0,131591,1,0,0
slot_sweep_n4,/root/e1_sweep/results,2026-04-29T04:04:53,12,12,0,112682,1,0,0
slot_sweep,/root/e1_sweep/results,2026-04-29T04:54:43,3,3,0,48753,1,0,0
recovery_experiments,/root/e1_sweep/results,2026-04-29T12:22:37,10,0,0,119333,1,0,0
darkpool_pilot,/root/e1_sweep/results,2026-04-29T22:35:59,,,0,4650,0,0,0
darkpool_size_sweep_tsn,/root/e1_sweep/results,2026-04-29T23:22:49,100,99,100,462397,1,1,0
darkpool_size_sweep_v2,/root/e1_sweep/results,2026-04-29T23:36:13,18,18,19,86873,1,0,0
darkpool_size_sweep_v3,/root/e1_sweep/results,2026-04-30T00:10:51,2,2,3,13885,1,0,0
qsync_only_current,/root/e1_sweep/results,2026-04-30T00:11:51,2,2,3,14050,1,0,0
qsync_native_root_final,/root/e1_sweep/results,2026-04-30T00:30:41,3,2,4,17639,1,0,0
qsync_native_root_clean,/root/e1_sweep/results,2026-04-30T00:38:12,3,2,4,17119,1,0,0
darkpool_cda_size_n3_tsn_20260430_010348,/root/e1_sweep/results,2026-04-30T01:04:45,7,7,0,29807,1,0,0
darkpool_cda_size_n3_docker_20260430_010644,/root/e1_sweep/results,2026-04-30T01:07:14,7,7,0,30266,1,0,0
darkpool_cda_size_n3_docker_4hosts_20260430_011929,/root/e1_sweep/results,2026-04-30T01:20:08,7,7,0,28500,1,0,0
castor_dm_sweep_0139,/root/e1_sweep/results,2026-04-30T01:39:14,0,0,1,1251,1,0,0
castor_n_sweep_0209,/root/e1_sweep/results,2026-04-30T02:09:36,0,0,0,6240,1,1,0
castor_n3_monitored_0319,/root/e1_sweep/results,2026-04-30T03:19:09,,,0,6771,0,1,0
castor_n3_monitored_0348,/root/e1_sweep/results,2026-04-30T03:48:37,,,0,1313,0,1,0
castor_n3_monitored_0351,/root/e1_sweep/results,2026-04-30T03:51:36,,,0,7305,0,1,0
castor_n4_500k_0421,/root/e1_sweep/results,2026-04-30T04:21:47,,,0,6494,0,1,0
castor_n4_1500k_0440,/root/e1_sweep/results,2026-04-30T04:40:58,,,0,17415,0,1,0
castor_n4_500k_flood_0543,/root/e1_sweep/results,2026-04-30T05:43:35,,,0,2732,0,1,0
castor_n4_500k_flood_0548,/root/e1_sweep/results,2026-04-30T05:48:42,,,0,7567,0,1,0
smoke_tsn_500k,/root/qsync-ae/results,2026-04-30T03:45:45,,,0,2328,0,0,0
smoke_tsn_10k,/root/qsync-ae/results,2026-04-30T03:50:12,,,0,2362,0,0,0
