rep	slot_ms	slot_ns	gates_total	max_t_ms	throughput_mul_s	status
1	1	1048544	1000000	23355.717852	42816	ok
1	1	1048544	1500000	35210.308581	42601	ok
1	1	1048544	2000000	46875.271897	42666	ok
1	2	2097088	1000000	24778.321267	40357	ok
1	2	2097088	1500000	36017.52331	41646	ok
1	2	2097088	2000000	47857.922954	41790	ok
1	5	5242720	1000000	26804.517158	37307	ok
1	5	5242720	1500000	37800.666805	39681	ok
1	5	5242720	2000000	48451.524768	41278	ok
1	10	10223304	1000000	28931.090496	34564	ok
1	10	10223304	1500000	40038.084709	37464	ok
1	10	10223304	2000000	53620.794663	37298	ok
